Ana,Anna
Ashe
Brigitte
D.Va,DVa,D. Va,D Va,Nerf,Waverider,Black cat
Emily
Mei
Mercy,Angela,Ziegler,Witch,Devil,Pharmacy,Pharmercy
Moira
Pharah,Pharmacy,Pharmercy
Reaper
Soldier: 76,Soldier,76
Sombra
Symmetra,Symm
Tracer
Widowmaker,Widow
Winston
Zarya
