Ana,Anna
Ashe,Ashe's,Ash
Brigitte
D.Va,DVa,D. Va,D Va,Nerf,Waverider,Black cat
Echo
Emily
Mei
Mercy,Angela,Ziegler,Witch,Devil,Pharmacy,Pharmercy
Moira
Pharah,Pharmacy,Pharmercy
Reaper
Sigma
Sojourn
Soldier: 76,Soldier,76
Sombra
Symmetra,Symm
Tracer
Widowmaker,Widow
Winston
Wrecking Ball, Hammond, hamster
Zarya
